main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Apple,Pear(Marasebu),1.298916777,132.5670135,199.613262,21.94544645,90.11907918,5.859119713,124.2551103
Apple,Pear(Marasebu),7.080476774,112.3322581,194.8691698,23.11476328,89.25061149,6.014056131,104.1497356
Apple,Pear(Marasebu),30.38514021,110.4971242,192.8350652,22.39348567,93.7865956,5.806522391,111.7988649
Apple,Pear(Marasebu),13.3330846,119.1875276,196.4964194,23.26654574,91.55786344,5.790116271,110.3704065
Apple,Pear(Marasebu),17.96603287,125.90829,196.5141479,20.57674613,89.54492472,6.44419864,118.1017807
Apple,Pear(Marasebu),31.16680641,123.6415234,199.5980567,21.01769605,93.35931927,6.308151615,117.6906079
Apple,Pear(Marasebu),32.71387463,121.9499016,191.6735044,22.77495029,92.40599387,5.632890176,99.18411635
Apple,Pear(Marasebu),5.357075852,126.1916202,196.1094032,23.0096125,93.67441853,5.646314828,116.8723706
Apple,Pear(Marasebu),21.49950921,116.2690768,191.7415711,21.37318386,93.86641358,6.434139216,114.6922853
Apple,Pear(Marasebu),13.19358292,118.8383569,196.8476615,20.78201314,94.13715617,6.060158786,120.7317718
Apple,Pear(Marasebu),28.25628602,138.8805852,192.4051225,23.59856301,93.09029067,6.301238253,103.5606081
Apple,Pear(Marasebu),14.79769497,121.4717044,195.4407401,23.1676323,93.19825855,5.681389082,122.1337552
Apple,Pear(Marasebu),26.24902808,122.0033275,194.3858059,21.86517848,89.12006952,6.206090081,105.2674506
Apple,Pear(Marasebu),19.25299578,115.5589412,191.5608693,21.19490901,94.19883354,6.495733826,114.6912451
Apple,Pear(Marasebu),29.56490537,135.8694771,194.8117856,20.51046181,93.7894843,6.257403829,102.3547859
Apple,Pear(Marasebu),11.73816308,128.6240702,196.6800858,21.14703785,93.59351147,5.617207362,99.61923697
Apple,Pear(Marasebu),2.690424385,126.693261,195.7638077,21.71483297,94.07117246,6.440618183,107.4456425
Apple,Pear(Marasebu),12.15273436,125.2545174,199.0277052,20.90425054,89.66039322,6.223883764,119.1664155
Apple,Pear(Marasebu),17.21371653,132.8359668,199.9670736,23.49989257,91.34210369,6.043311002,101.9199501
Apple,Pear(Marasebu),29.42149997,133.4659509,199.9382661,20.69530059,90.42901593,5.677732522,105.6772057
Apple,Pear(Marasebu),33.54339108,111.7443289,197.1253066,23.49789222,90.10924244,5.697154354,105.8708683
Apple,Pear(Marasebu),0.165551074,117.2275588,191.2442376,22.55919084,92.04715356,5.813839297,119.8056062
Apple,Pear(Marasebu),0.24114177,134.0306249,192.4268475,22.87521631,93.21665536,6.463739681,114.3500732
Apple,Pear(Marasebu),18.98404085,127.3309874,191.3980099,22.26541459,90.36255508,6.459842798,114.2123686
Apple,Pear(Marasebu),6.514171281,139.7958459,195.3392558,22.12662708,91.35074803,5.790583621,109.9668265
Apple,Pear(Marasebu),3.99083158,129.2976841,193.4596414,21.45845263,93.42561156,6.083402142,106.7604826
Apple,Pear(Marasebu),10.88377381,129.9383543,191.1284211,21.80386561,93.93627075,6.200332426,124.6021134
Apple,Pear(Marasebu),17.87647277,138.3411324,196.0186609,21.79115922,92.61695948,6.021663399,98.10760947
